Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DSLIP,2/13/2023,DEPOSIT,155.94,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,150.43,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT  ID NUMBER  51511,111.9,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,96.75,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,89.96,DEPOSIT, ,
DSLIP,1/18/2023,DEPOSIT,437.84,DEPOSIT, ,
DSLIP,1/18/2023,DEPOSIT,436.83,DEPOSIT, ,
DSLIP,1/18/2023,DEPOSIT,348.85,DEPOSIT, ,
DSLIP,1/18/2023,DEPOSIT,337.98,DEPOSIT, ,
DSLIP,1/18/2023,DEPOSIT,288.91,DEPOSIT, ,
DSLIP,1/18/2023,DEPOSIT,281.89,DEPOSIT, ,
DSLIP,1/18/2023,DEPOSIT,241.91,DEPOSIT, ,
DSLIP,1/18/2023,DEPOSIT,199,DEPOSIT, ,
DSLIP,1/18/2023,DEPOSIT,164.8,DEPOSIT, ,
DSLIP,1/18/2023,DEPOSIT,146.91,DEPOSIT, ,
DSLIP,1/18/2023,DEPOSIT,123.75,DEPOSIT, ,
DSLIP,1/9/2023,DEPOSIT,419.29,DEPOSIT, ,
DSLIP,1/9/2023,DEPOSIT,385.95,DEPOSIT, ,
DSLIP,1/9/2023,DEPOSIT,212.76,DEPOSIT, ,
DSLIP,1/9/2023,DEPOSIT,141.94,DEPOSIT, ,
DSLIP,1/4/2023,DEPOSIT,478.8,DEPOSIT, ,
DSLIP,1/4/2023,DEPOSIT,464.83,DEPOSIT, ,
DSLIP,1/4/2023,DEPOSIT,345.89,DEPOSIT, ,
DSLIP,1/4/2023,DEPOSIT,208.49,DEPOSIT, ,
DSLIP,1/4/2023,DEPOSIT,150.93,DEPOSIT, ,
DSLIP,1/4/2023,DEPOSIT,133.95,DEPOSIT, ,
DSLIP,1/4/2023,DEPOSIT,96.93,DEPOSIT, ,
DSLIP,1/3/2023,DEPOSIT,572.78,DEPOSIT, ,
DSLIP,1/3/2023,DEPOSIT,350.34,DEPOSIT, ,
DSLIP,1/3/2023,DEPOSIT,279.69,DEPOSIT, ,
DSLIP,1/3/2023,DEPOSIT,249,DEPOSIT, ,
DSLIP,1/3/2023,DEPOSIT,235.67,DEPOSIT, ,
DSLIP,1/3/2023,DEPOSIT,221.48,DEPOSIT, ,
DSLIP,1/3/2023,DEPOSIT,211.51,DEPOSIT, ,
DSLIP,1/3/2023,DEPOSIT,206.55,DEPOSIT, ,
DSLIP,1/3/2023,DEPOSIT,150.93,DEPOSIT, ,
DSLIP,12/28/2022,DEPOSIT,281.89,DEPOSIT, ,
DSLIP,12/28/2022,DEPOSIT,132.64,DEPOSIT, ,
DSLIP,12/27/2022,DEPOSIT,231.94,DEPOSIT, ,
DSLIP,12/27/2022,DEPOSIT,220.91,DEPOSIT, ,
DSLIP,12/27/2022,DEPOSIT,212.9,DEPOSIT, ,
DSLIP,12/27/2022,DEPOSIT,146.53,DEPOSIT, ,
DSLIP,12/27/2022,DEPOSIT,127.95,DEPOSIT, ,
DSLIP,12/13/2022,DEPOSIT,516.61,DEPOSIT, ,
DSLIP,12/13/2022,DEPOSIT,376.85,DEPOSIT, ,
DSLIP,12/13/2022,DEPOSIT,371.88,DEPOSIT, ,
DSLIP,12/13/2022,DEPOSIT,341.26,DEPOSIT, ,
DSLIP,12/13/2022,DEPOSIT,331.82,DEPOSIT, ,
DSLIP,12/13/2022,DEPOSIT,263.91,DEPOSIT, ,
DSLIP,12/13/2022,DEPOSIT,252.68,DEPOSIT, ,
DSLIP,12/13/2022,DEPOSIT,180.9,DEPOSIT, ,
DSLIP,12/12/2022,REMOTE ONLINE DEPOSIT #          1,2531.67,CHECK_DEPOSIT, ,1
DSLIP,12/2/2022,DEPOSIT,465.83,DEPOSIT, ,
DSLIP,12/2/2022,DEPOSIT,408.84,DEPOSIT, ,
DSLIP,12/2/2022,DEPOSIT,365.98,DEPOSIT, ,
DSLIP,12/2/2022,DEPOSIT,291.9,DEPOSIT, ,
DSLIP,12/2/2022,DEPOSIT,210.91,DEPOSIT, ,
DSLIP,12/2/2022,DEPOSIT,165.94,DEPOSIT, ,
DSLIP,12/2/2022,DEPOSIT,123.45,DEPOSIT, ,
DSLIP,11/21/2022,DEPOSIT,565.79,DEPOSIT, ,
DSLIP,11/21/2022,DEPOSIT,542.79,DEPOSIT, ,
DSLIP,11/21/2022,DEPOSIT,355.88,DEPOSIT, ,
DSLIP,11/21/2022,DEPOSIT,274.79,DEPOSIT, ,
DSLIP,11/21/2022,DEPOSIT,274.4,DEPOSIT, ,
DSLIP,11/21/2022,DEPOSIT,221.78,DEPOSIT, ,
DSLIP,11/21/2022,DEPOSIT,203.92,DEPOSIT, ,
DSLIP,11/16/2022,DEPOSIT,618.78,DEPOSIT, ,
DSLIP,11/16/2022,DEPOSIT,553.81,DEPOSIT, ,
DSLIP,11/16/2022,DEPOSIT,450.81,DEPOSIT, ,
DSLIP,11/16/2022,DEPOSIT,329.07,DEPOSIT, ,
DSLIP,11/16/2022,DEPOSIT,282.5,DEPOSIT, ,
DSLIP,11/16/2022,DEPOSIT,273.66,DEPOSIT, ,
DSLIP,11/16/2022,DEPOSIT,246.47,DEPOSIT, ,
DSLIP,11/16/2022,DEPOSIT,219.8,DEPOSIT, ,
DSLIP,11/16/2022,DEPOSIT,111.96,DEPOSIT, ,
DSLIP,11/16/2022,DEPOSIT,89.97,DEPOSIT, ,
DSLIP,11/8/2022,DEPOSIT,435.33,DEPOSIT, ,
DSLIP,11/8/2022,DEPOSIT,376.86,DEPOSIT, ,
DSLIP,11/8/2022,DEPOSIT,356.05,DEPOSIT, ,
DSLIP,11/8/2022,DEPOSIT,219.9,DEPOSIT, ,
DSLIP,11/8/2022,DEPOSIT,205.92,DEPOSIT, ,
DSLIP,11/8/2022,DEPOSIT,174.71,DEPOSIT, ,
DSLIP,11/8/2022,DEPOSIT,167.94,DEPOSIT, ,
DSLIP,11/8/2022,DEPOSIT,166.04,DEPOSIT, ,
DSLIP,11/2/2022,REMOTE ONLINE DEPOSIT #          1,366,CHECK_DEPOSIT, ,1
DSLIP,10/28/2022,DEPOSIT,726.2,DEPOSIT, ,
DSLIP,10/28/2022,DEPOSIT,539.19,DEPOSIT, ,
DSLIP,10/28/2022,DEPOSIT,454.83,DEPOSIT, ,
DSLIP,10/28/2022,DEPOSIT,321.36,DEPOSIT, ,
DSLIP,10/28/2022,DEPOSIT,301.42,DEPOSIT, ,
DSLIP,10/28/2022,DEPOSIT,283.9,DEPOSIT, ,
DSLIP,10/28/2022,DEPOSIT,220.89,DEPOSIT, ,
DSLIP,10/28/2022,DEPOSIT,182.93,DEPOSIT, ,
DSLIP,10/28/2022,DEPOSIT,137.74,DEPOSIT, ,
DSLIP,10/24/2022,DEPOSIT,415.68,DEPOSIT, ,
DSLIP,10/24/2022,DEPOSIT,350.84,DEPOSIT, ,
DSLIP,10/24/2022,DEPOSIT,240.69,DEPOSIT, ,
DSLIP,10/24/2022,DEPOSIT,240.48,DEPOSIT, ,
DSLIP,10/24/2022,DEPOSIT,230.92,DEPOSIT, ,
DSLIP,10/24/2022,DEPOSIT,230.91,DEPOSIT, ,
DSLIP,10/24/2022,DEPOSIT,223.9,DEPOSIT, ,
DSLIP,10/24/2022,DEPOSIT,215.92,DEPOSIT, ,
DSLIP,10/24/2022,DEPOSIT,213.9,DEPOSIT, ,
DSLIP,10/24/2022,DEPOSIT,213.3,DEPOSIT, ,
DSLIP,10/24/2022,DEPOSIT,118.96,DEPOSIT, ,
DSLIP,10/24/2022,DEPOSIT,21.99,DEPOSIT, ,
DSLIP,10/11/2022,DEPOSIT,404.6,DEPOSIT, ,
DSLIP,10/11/2022,DEPOSIT,330.87,DEPOSIT, ,
DSLIP,10/11/2022,DEPOSIT,321.39,DEPOSIT, ,
DSLIP,10/11/2022,DEPOSIT,308.12,DEPOSIT, ,
DSLIP,10/11/2022,DEPOSIT,298.87,DEPOSIT, ,
DSLIP,10/11/2022,DEPOSIT,214.93,DEPOSIT, ,
DSLIP,10/11/2022,DEPOSIT,183.68,DEPOSIT, ,
DSLIP,10/11/2022,DEPOSIT,138.95,DEPOSIT, ,
DSLIP,10/11/2022,DEPOSIT,127.95,DEPOSIT, ,
DSLIP,9/29/2022,DEPOSIT,399.38,DEPOSIT, ,
DSLIP,9/29/2022,DEPOSIT,391.83,DEPOSIT, ,
DSLIP,9/29/2022,DEPOSIT,317.88,DEPOSIT, ,
DSLIP,9/29/2022,DEPOSIT,314.89,DEPOSIT, ,
DSLIP,9/29/2022,DEPOSIT,299.25,DEPOSIT, ,
DSLIP,9/29/2022,DEPOSIT,275.86,DEPOSIT, ,
DSLIP,9/29/2022,DEPOSIT,250.9,DEPOSIT, ,
DSLIP,9/29/2022,DEPOSIT,242.8,DEPOSIT, ,
DSLIP,9/29/2022,DEPOSIT,242.27,DEPOSIT, ,
DSLIP,9/29/2022,DEPOSIT,161.94,DEPOSIT, ,
DSLIP,9/29/2022,DEPOSIT,144.01,DEPOSIT, ,
DSLIP,9/29/2022,DEPOSIT,143.44,DEPOSIT, ,
DSLIP,9/29/2022,DEPOSIT,124.95,DEPOSIT, ,
DSLIP,9/29/2022,DEPOSIT,115.94,DEPOSIT, ,
DSLIP,9/29/2022,DEPOSIT,21.99,DEPOSIT, ,
DSLIP,9/15/2022,DEPOSIT,411.15,DEPOSIT, ,
DSLIP,9/15/2022,DEPOSIT,401.26,DEPOSIT, ,
DSLIP,9/15/2022,DEPOSIT,400.66,DEPOSIT, ,
DSLIP,9/15/2022,DEPOSIT,381.94,DEPOSIT, ,
DSLIP,9/15/2022,DEPOSIT,362.89,DEPOSIT, ,
DSLIP,9/15/2022,DEPOSIT,295.38,DEPOSIT, ,
DSLIP,9/15/2022,DEPOSIT,291.46,DEPOSIT, ,
DSLIP,9/15/2022,DEPOSIT,289.88,DEPOSIT, ,
DSLIP,9/15/2022,DEPOSIT,283.59,DEPOSIT, ,
DSLIP,9/15/2022,DEPOSIT,274.89,DEPOSIT, ,
DSLIP,9/15/2022,DEPOSIT,272.89,DEPOSIT, ,
DSLIP,9/15/2022,DEPOSIT,249.89,DEPOSIT, ,
DSLIP,9/15/2022,DEPOSIT,234.73,DEPOSIT, ,
DSLIP,9/15/2022,DEPOSIT,143.95,DEPOSIT, ,
DSLIP,8/30/2022,DEPOSIT,703.69,DEPOSIT, ,
DSLIP,8/30/2022,DEPOSIT,459.79,DEPOSIT, ,
DSLIP,8/30/2022,DEPOSIT,370.92,DEPOSIT, ,
DSLIP,8/30/2022,DEPOSIT,328.91,DEPOSIT, ,
DSLIP,8/30/2022,DEPOSIT,273.49,DEPOSIT, ,
DSLIP,8/30/2022,DEPOSIT,270.7,DEPOSIT, ,
DSLIP,8/30/2022,DEPOSIT,261.11,DEPOSIT, ,
DSLIP,8/30/2022,DEPOSIT,190.92,DEPOSIT, ,
DSLIP,8/30/2022,DEPOSIT,178.93,DEPOSIT, ,
DSLIP,8/30/2022,DEPOSIT,120.53,DEPOSIT, ,
DSLIP,8/30/2022,DEPOSIT,65.97,DEPOSIT, ,
DSLIP,8/22/2022,DEPOSIT,581.23,DEPOSIT, ,
DSLIP,8/22/2022,DEPOSIT,548.96,DEPOSIT, ,
DSLIP,8/22/2022,DEPOSIT,467.3,DEPOSIT, ,
DSLIP,8/22/2022,DEPOSIT,402.84,DEPOSIT, ,
DSLIP,8/22/2022,DEPOSIT,344.88,DEPOSIT, ,
DSLIP,8/22/2022,DEPOSIT,315.38,DEPOSIT, ,
DSLIP,8/22/2022,DEPOSIT,308.89,DEPOSIT, ,
DSLIP,8/22/2022,DEPOSIT,293.68,DEPOSIT, ,
DSLIP,8/22/2022,DEPOSIT,252.9,DEPOSIT, ,
DSLIP,8/22/2022,DEPOSIT,224.9,DEPOSIT, ,
DSLIP,8/22/2022,DEPOSIT,158.92,DEPOSIT, ,
DSLIP,8/22/2022,DEPOSIT,148.05,DEPOSIT, ,
DSLIP,8/22/2022,DEPOSIT,113.95,DEPOSIT, ,
DSLIP,8/22/2022,DEPOSIT,29.99,DEPOSIT, ,
DSLIP,8/8/2022,DEPOSIT,452.84,DEPOSIT, ,
DSLIP,8/8/2022,DEPOSIT,432.85,DEPOSIT, ,
DSLIP,8/8/2022,DEPOSIT,350.9,DEPOSIT, ,
DSLIP,8/8/2022,DEPOSIT,301.88,DEPOSIT, ,
DSLIP,8/8/2022,DEPOSIT,63.07,DEPOSIT, ,
DSLIP,8/8/2022,DEPOSIT,51.98,DEPOSIT, ,
DSLIP,8/1/2022,DEPOSIT,508.58,DEPOSIT, ,
DSLIP,8/1/2022,DEPOSIT,443.75,DEPOSIT, ,
DSLIP,8/1/2022,DEPOSIT,409.85,DEPOSIT, ,
DSLIP,8/1/2022,DEPOSIT,369.03,DEPOSIT, ,
DSLIP,8/1/2022,DEPOSIT,367.86,DEPOSIT, ,
DSLIP,8/1/2022,DEPOSIT,290.02,DEPOSIT, ,
DSLIP,8/1/2022,DEPOSIT,260.41,DEPOSIT, ,
DSLIP,8/1/2022,DEPOSIT,241.41,DEPOSIT, ,
DSLIP,8/1/2022,DEPOSIT,212.4,DEPOSIT, ,
DSLIP,7/25/2022,DEPOSIT,559.28,DEPOSIT, ,
DSLIP,7/25/2022,DEPOSIT,465.1,DEPOSIT, ,
DSLIP,7/25/2022,DEPOSIT,316.36,DEPOSIT, ,
DSLIP,7/25/2022,DEPOSIT,299.86,DEPOSIT, ,
DSLIP,7/25/2022,DEPOSIT,279.4,DEPOSIT, ,
DSLIP,7/25/2022,DEPOSIT,272.91,DEPOSIT, ,
DSLIP,7/25/2022,DEPOSIT,266,DEPOSIT, ,
DSLIP,7/25/2022,DEPOSIT,261.21,DEPOSIT, ,
DSLIP,7/25/2022,DEPOSIT,254.38,DEPOSIT, ,
DSLIP,7/25/2022,DEPOSIT,198.85,DEPOSIT, ,
DSLIP,7/25/2022,DEPOSIT,194.9,DEPOSIT, ,
DSLIP,7/25/2022,DEPOSIT,123.97,DEPOSIT, ,
DSLIP,7/25/2022,DEPOSIT,71.98,DEPOSIT, ,
DSLIP,7/11/2022,DEPOSIT,557.68,DEPOSIT, ,
DSLIP,7/11/2022,DEPOSIT,516.85,DEPOSIT, ,
DSLIP,7/11/2022,DEPOSIT,464.79,DEPOSIT, ,
DSLIP,7/11/2022,DEPOSIT,304.7,DEPOSIT, ,
DSLIP,7/11/2022,DEPOSIT,269.71,DEPOSIT, ,
DSLIP,7/11/2022,DEPOSIT,216.91,DEPOSIT, ,
DSLIP,7/11/2022,DEPOSIT,63.96,DEPOSIT, ,
DSLIP,7/5/2022,DEPOSIT  ID NUMBER     32,512.32,DEPOSIT, ,
DSLIP,7/5/2022,DEPOSIT,368.32,DEPOSIT, ,
DSLIP,7/5/2022,DEPOSIT,354.86,DEPOSIT, ,
DSLIP,7/5/2022,DEPOSIT,245.9,DEPOSIT, ,
DSLIP,7/5/2022,DEPOSIT,159.93,DEPOSIT, ,
DSLIP,7/5/2022,DEPOSIT,149.96,DEPOSIT, ,
DSLIP,7/5/2022,DEPOSIT,81.92,DEPOSIT, ,
DSLIP,7/5/2022,DEPOSIT,46.96,DEPOSIT, ,
DSLIP,6/23/2022,DEPOSIT,568.74,DEPOSIT, ,
DSLIP,6/23/2022,DEPOSIT,296.36,DEPOSIT, ,
DSLIP,6/23/2022,DEPOSIT,272.71,DEPOSIT, ,
DSLIP,6/23/2022,DEPOSIT,271.88,DEPOSIT, ,
DSLIP,6/23/2022,DEPOSIT,254.95,DEPOSIT, ,
DSLIP,6/23/2022,DEPOSIT,248.18,DEPOSIT, ,
DSLIP,6/23/2022,DEPOSIT,138.43,DEPOSIT, ,
DSLIP,6/23/2022,DEPOSIT,124.4,DEPOSIT, ,
DSLIP,6/23/2022,DEPOSIT,104.96,DEPOSIT, ,
DSLIP,6/23/2022,DEPOSIT,97.96,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,712.68,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,536.78,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,534.94,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,481.82,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,463.82,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,416.1,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,370.04,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,356.35,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,290.36,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,247.51,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,232.39,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,132.04,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,123.95,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,109.55,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,95.95,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,94.96,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,90.97,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,78.88,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,66.97,DEPOSIT, ,
DSLIP,6/14/2022,DEPOSIT,43.98,DEPOSIT, ,
DSLIP,6/2/2022,DEPOSIT,496.04,DEPOSIT, ,
DSLIP,6/2/2022,DEPOSIT,307.39,DEPOSIT, ,
DSLIP,6/2/2022,DEPOSIT,285.42,DEPOSIT, ,
DSLIP,6/2/2022,DEPOSIT,255.17,DEPOSIT, ,
DSLIP,6/2/2022,DEPOSIT,229,DEPOSIT, ,
DSLIP,6/2/2022,DEPOSIT,113.95,DEPOSIT, ,
DSLIP,6/2/2022,DEPOSIT,97.96,DEPOSIT, ,
DSLIP,5/17/2022,DEPOSIT,416.32,DEPOSIT, ,
DSLIP,5/17/2022,DEPOSIT,388.84,DEPOSIT, ,
DSLIP,5/17/2022,DEPOSIT,244.9,DEPOSIT, ,
DSLIP,5/17/2022,DEPOSIT,186.43,DEPOSIT, ,
DSLIP,5/17/2022,DEPOSIT,160.93,DEPOSIT, ,
DSLIP,5/16/2022,DEPOSIT,527.52,DEPOSIT, ,
DSLIP,5/16/2022,DEPOSIT,404.86,DEPOSIT, ,
DSLIP,5/16/2022,DEPOSIT,346.43,DEPOSIT, ,
DSLIP,5/16/2022,DEPOSIT,302.15,DEPOSIT, ,
DSLIP,5/16/2022,DEPOSIT,259.97,DEPOSIT, ,
DSLIP,5/16/2022,DEPOSIT,240.37,DEPOSIT, ,
DSLIP,5/16/2022,DEPOSIT,185.57,DEPOSIT, ,
DSLIP,5/16/2022,DEPOSIT,148.49,DEPOSIT, ,
DSLIP,5/16/2022,DEPOSIT,122.94,DEPOSIT, ,
DSLIP,5/11/2022,REMOTE ONLINE DEPOSIT #          1,450,CHECK_DEPOSIT, ,1
DSLIP,5/3/2022,DEPOSIT,418.3,DEPOSIT, ,
DSLIP,5/3/2022,DEPOSIT,212.93,DEPOSIT, ,
DSLIP,5/3/2022,DEPOSIT,198.71,DEPOSIT, ,
DSLIP,5/3/2022,DEPOSIT,190.92,DEPOSIT, ,
DSLIP,5/3/2022,DEPOSIT,187.92,DEPOSIT, ,
DSLIP,5/3/2022,DEPOSIT,174.92,DEPOSIT, ,
DSLIP,5/3/2022,DEPOSIT,163.43,DEPOSIT, ,
DSLIP,5/3/2022,DEPOSIT,152.91,DEPOSIT, ,
DSLIP,5/3/2022,DEPOSIT,62.07,DEPOSIT, ,
DSLIP,5/3/2022,DEPOSIT,59.35,DEPOSIT, ,
DSLIP,4/25/2022,DEPOSIT,593,DEPOSIT, ,
DSLIP,4/25/2022,DEPOSIT,587.27,DEPOSIT, ,
DSLIP,4/25/2022,DEPOSIT,430.74,DEPOSIT, ,
DSLIP,4/25/2022,DEPOSIT,306.24,DEPOSIT, ,
DSLIP,4/25/2022,DEPOSIT,303.75,DEPOSIT, ,
DSLIP,4/25/2022,DEPOSIT,263.34,DEPOSIT, ,
DSLIP,4/25/2022,DEPOSIT,189.9,DEPOSIT, ,
DSLIP,4/25/2022,DEPOSIT,125.44,DEPOSIT, ,
DSLIP,4/18/2022,DEPOSIT,704.22,DEPOSIT, ,
DSLIP,4/18/2022,DEPOSIT,495.73,DEPOSIT, ,
DSLIP,4/18/2022,DEPOSIT,363.9,DEPOSIT, ,
DSLIP,4/18/2022,DEPOSIT,292.96,DEPOSIT, ,
DSLIP,4/18/2022,DEPOSIT,207.06,DEPOSIT, ,
DSLIP,4/18/2022,DEPOSIT,203.89,DEPOSIT, ,
DSLIP,4/11/2022,DEPOSIT,311.86,DEPOSIT, ,
DSLIP,4/11/2022,DEPOSIT,145.51,DEPOSIT, ,
DSLIP,4/11/2022,DEPOSIT,31.99,DEPOSIT, ,
DSLIP,4/7/2022,DEPOSIT,530.28,DEPOSIT, ,
DSLIP,4/7/2022,DEPOSIT,390.83,DEPOSIT, ,
DSLIP,4/7/2022,DEPOSIT,326.34,DEPOSIT, ,
DSLIP,4/7/2022,DEPOSIT,277.85,DEPOSIT, ,
DSLIP,4/7/2022,DEPOSIT,245.5,DEPOSIT, ,
DSLIP,4/7/2022,DEPOSIT,176.42,DEPOSIT, ,
DSLIP,3/30/2022,DEPOSIT,357.86,DEPOSIT, ,
DSLIP,3/30/2022,DEPOSIT,235.88,DEPOSIT, ,
DSLIP,3/30/2022,DEPOSIT,219.89,DEPOSIT, ,
DSLIP,3/30/2022,DEPOSIT,165.71,DEPOSIT, ,
DSLIP,3/30/2022,DEPOSIT,65.97,DEPOSIT, ,
DSLIP,3/28/2022,DEPOSIT,379.87,DEPOSIT, ,
DSLIP,3/28/2022,DEPOSIT,260.78,DEPOSIT, ,
DSLIP,3/28/2022,DEPOSIT,246.5,DEPOSIT, ,
DSLIP,3/24/2022,DEPOSIT,467.8,DEPOSIT, ,
DSLIP,3/24/2022,DEPOSIT,339.92,DEPOSIT, ,
DSLIP,3/24/2022,DEPOSIT,230.88,DEPOSIT, ,
DSLIP,3/24/2022,DEPOSIT,226.19,DEPOSIT, ,
DSLIP,3/24/2022,DEPOSIT,189.87,DEPOSIT, ,
DSLIP,3/24/2022,DEPOSIT,65.97,DEPOSIT, ,
DSLIP,3/17/2022,DEPOSIT,309.85,DEPOSIT, ,
DSLIP,3/17/2022,DEPOSIT,285.73,DEPOSIT, ,
DSLIP,3/17/2022,DEPOSIT,193.92,DEPOSIT, ,
DSLIP,3/15/2022,DEPOSIT,214.42,DEPOSIT, ,
DSLIP,3/14/2022,DEPOSIT,446.29,DEPOSIT, ,
DSLIP,3/14/2022,DEPOSIT,367.32,DEPOSIT, ,
DSLIP,3/14/2022,DEPOSIT,297.99,DEPOSIT, ,
DSLIP,3/14/2022,DEPOSIT,275.17,DEPOSIT, ,
DSLIP,3/14/2022,DEPOSIT,269.45,DEPOSIT, ,
DSLIP,3/14/2022,DEPOSIT,269.43,DEPOSIT, ,
DSLIP,3/14/2022,DEPOSIT,245.39,DEPOSIT, ,
DSLIP,3/14/2022,DEPOSIT,238.92,DEPOSIT, ,
DSLIP,3/14/2022,DEPOSIT,178.16,DEPOSIT, ,
DSLIP,3/14/2022,DEPOSIT,151.42,DEPOSIT, ,
DSLIP,3/7/2022,DEPOSIT,724.92,DEPOSIT, ,
DSLIP,3/7/2022,DEPOSIT,406.31,DEPOSIT, ,
DSLIP,3/7/2022,DEPOSIT,321.96,DEPOSIT, ,
DSLIP,3/7/2022,DEPOSIT,235.29,DEPOSIT, ,
DSLIP,3/7/2022,DEPOSIT,187.74,DEPOSIT, ,
DSLIP,3/7/2022,DEPOSIT,182.39,DEPOSIT, ,
DSLIP,2/28/2022,DEPOSIT,482.82,DEPOSIT, ,
DSLIP,2/28/2022,DEPOSIT,389.82,DEPOSIT, ,
DSLIP,2/28/2022,DEPOSIT,358.32,DEPOSIT, ,
DSLIP,2/28/2022,DEPOSIT,333.66,DEPOSIT, ,
DSLIP,2/28/2022,DEPOSIT,271.86,DEPOSIT, ,
DSLIP,2/28/2022,DEPOSIT,271.6,DEPOSIT, ,
DSLIP,2/28/2022,DEPOSIT,224.91,DEPOSIT, ,
DSLIP,2/28/2022,DEPOSIT,171.83,DEPOSIT, ,
DSLIP,2/28/2022,DEPOSIT,147.51,DEPOSIT, ,
DSLIP,2/28/2022,DEPOSIT,114.52,DEPOSIT, ,
