Register,Sequence,Opened,Closed,"Store Credit Amount","Store Credit Posted","Lightspeed Payments Amount","Lightspeed Payments Posted","Cash Amount","Cash Posted","Credit Card Amount","Credit Card Posted","Debit Amount","Debit Posted","Chase Amount","Chase Posted","Gift Card Amount","Gift Card Posted",Total
"Division Vapor Southeast",3381,2024-02-18T11:53:12-08:00,2024-02-18T19:03:23-08:00,0,0,0,0,185.94,185.94,0,0,0,0,1914.32,1914.32,0,0,2100.26
"Division Vapor Southeast",3380,2024-02-17T09:54:07-08:00,2024-02-17T19:03:26-08:00,0,0,0,0,180.91,180.91,0,0,0,0,1679.28,1679.28,0,0,1860.19
"Division Vapor Southeast",3379,2024-02-16T09:43:36-08:00,2024-02-16T19:03:20-08:00,0,0,0,0,688.84,688.84,0,0,0,0,2372.9,2372.9,0,0,3061.74
"Division Vapor Southeast",3378,2024-02-15T09:55:55-08:00,2024-02-15T19:05:33-08:00,0,0,0,0,319.7,319.7,0,0,0,0,1873.57,1843.58,0,0,2193.27
"Division Vapor Southeast",3377,2024-02-14T09:45:25-08:00,2024-02-14T19:07:17-08:00,0,0,0,0,83.97,83.97,0,0,0,0,1091.35,1091.35,0,0,1175.32
"Division Vapor Southeast",3376,2024-02-13T09:49:53-08:00,2024-02-13T19:02:29-08:00,0,0,0,0,331.9,331.9,0,0,0,0,1003.22,1003.22,0,0,1335.12
"Division Vapor Southeast",3375,2024-02-12T08:38:24-08:00,2024-02-12T19:04:34-08:00,0,0,0,0,393.86,393.86,0,0,0,0,1503.89,1503.89,0,0,1897.75
"Division Vapor Southeast",3374,2024-02-11T12:00:36-08:00,2024-02-11T19:03:42-08:00,0,0,0,0,437.57,437.57,0,0,0,0,1906.21,1906.21,0,0,2343.78
"Division Vapor Southeast",3373,2024-02-10T09:54:45-08:00,2024-02-10T19:02:56-08:00,0,0,0,0,334.86,334.86,0,0,0,0,1239.61,1239.61,0,0,1574.47
"Division Vapor Southeast",3372,2024-02-09T09:42:20-08:00,2024-02-09T19:03:46-08:00,0,0,0,0,313.87,313.87,0,0,0,0,2224.75,2224.75,0,0,2538.62
"Division Vapor Southeast",3371,2024-02-08T10:00:56-08:00,2024-02-08T19:00:45-08:00,0,0,0,0,281.89,281.89,0,0,0,0,1429.9,1429.9,0,0,1711.79
"Division Vapor Southeast",3370,2024-02-07T09:40:10-08:00,2024-02-07T19:08:17-08:00,0,0,0,0,203.91,203.91,0,0,0,0,987.17,987.17,0,0,1191.08
"Division Vapor Southeast",3369,2024-02-06T09:43:27-08:00,2024-02-06T19:05:48-08:00,0,0,0,0,100,100,0,0,0,0,1957.89,1957.89,0,0,2057.89
"Division Vapor Southeast",3368,2024-02-05T09:43:00-08:00,2024-02-05T19:04:46-08:00,0,0,0,0,127.95,127.95,0,0,0,0,1595.12,1595.12,0,0,1723.07
"Division Vapor Southeast",3367,2024-02-04T12:02:15-08:00,2024-02-04T19:05:21-08:00,0,0,0,0,99.96,99.96,0,0,0,0,1859.76,1859.76,0,0,1959.72
"Division Vapor Southeast",3366,2024-02-03T09:53:24-08:00,2024-02-03T19:04:31-08:00,0,0,0,0,289.41,289.41,0,0,0,0,1324.08,1324.08,0,0,1613.49
