Date,Amount
2023-05-03,97.55
2023-04-26,328.87
2023-04-26,262.29
2023-04-26,249.91
2023-04-26,221.93
2023-04-26,208.41
2023-04-26,179.89
2023-04-26,163.94
2023-04-26,111.96
2023-04-18,622.79
2023-04-18,405.84
2023-04-18,233.94
2023-04-18,154.93
2023-04-18,120.95
2023-04-18,106.96
2023-04-18,105.96
2023-04-11,402.87
2023-04-11,372.86
2023-04-11,365.43
2023-04-11,363.88
2023-04-11,354.86
2023-04-11,286.45
2023-04-11,222.9
2023-04-11,170.93
2023-04-11,153.93
2023-04-11,142.93
2023-04-11,139.96
2023-04-11,109.96
2023-04-11,78.97
2023-03-29,334.35
2023-03-29,288.87
2023-03-29,216.94
2023-03-29,195.89
2023-03-29,184.92
2023-03-29,129.94
2023-03-29,128.74
2023-03-29,123.44
2023-03-21,440.25
2023-03-21,300.86
2023-03-21,285.72
2023-03-21,207.9
2023-03-21,197.91
2023-03-21,184.92
2023-03-21,165.95
2023-03-21,160.94
2023-03-21,123.93
2023-03-21,97.98
2023-03-14,405.33
2023-03-14,347.01
2023-03-14,252.88
2023-03-14,237.9
2023-03-14,212.0
2023-03-14,207.88
2023-03-14,137.94
2023-03-14,43.98
2023-03-07,413.81
2023-03-07,403.22
2023-03-07,357.99
2023-03-07,235.42
2023-03-07,202.01
2023-03-07,154.85
2023-03-07,150.95
2023-03-07,122.05
2023-02-27,490.8
2023-02-27,317.87
2023-02-27,221.91
2023-02-27,178.91
2023-02-27,160.93
2023-02-27,139.33
2023-02-27,116.95
2023-02-16,443.65
2023-02-16,333.87
2023-02-16,275.69
2023-02-16,117.35
2023-02-13,515.81
2023-02-13,479.13
2023-02-13,439.34
2023-02-13,382.3
2023-02-13,345.85
2023-02-13,335.83
2023-02-13,329.67
2023-02-13,296.83
2023-02-13,295.89
2023-02-13,277.07
2023-02-13,273.96
2023-02-13,273.88
2023-02-13,229.41
2023-02-13,224.91
2023-02-13,206.46
2023-02-13,195.9
2023-02-13,180.72
2023-02-13,175.92
2023-02-13,161.93
2023-02-13,155.94
2023-02-13,150.43
2023-02-13,111.9
2023-02-13,96.75
2023-02-13,89.96
2023-01-18,437.84
2023-01-18,436.83
2023-01-18,348.85
2023-01-18,337.98
2023-01-18,288.91
2023-01-18,281.89
2023-01-18,241.91
2023-01-18,199.0
2023-01-18,164.8
2023-01-18,146.91
2023-01-18,123.75
2023-01-09,419.29
2023-01-09,385.95
2023-01-09,212.76
2023-01-09,141.94
2023-01-04,478.8
2023-01-04,464.83
2023-01-04,345.89
2023-01-04,208.49
2023-01-04,150.93
2023-01-04,133.95
2023-01-04,96.93
2023-01-03,572.78
2023-01-03,350.34
2023-01-03,279.69
2023-01-03,249.0
2023-01-03,235.67
2023-01-03,221.48
2023-01-03,211.51
2023-01-03,206.55
2023-01-03,150.93
2022-12-28,281.89
2022-12-28,132.64
2022-12-27,231.94
2022-12-27,220.91
